study,subject_nr,gender,age,race,condition,bp_ts,ba_ts,bp_rec,ba_rec,bp_tj,ba_tj,feel_ts,feel_tj,avoid_ts,avoid_tj,EQ_mean
1,1,Female,21,White,bp_rec,1,0,0,1,0,0,4,4,NA,1,NA
1,3,Female,20,White,ba_tj, 0.5,0.50,1,1,1.17,1.17,5,2,1,1,3.3434343434343434
1,4,Female,19,White,ba_rec,1,0.25,0.5,0.5,0.5,0,3,2,1,1,2.5606060606060606
1,5,Female,20,White,ba_rec,0.25, 0.67,0.67,0.67,1,0,2,5,1,3,2.0454545454545454
1,6,Female,18,White,bp_ts,1,1,1,1,0,0,4,4,1,1,2.5606060606060606
1,7,Male,18,White,ba_tj,1,0.50,0.17,0.17,0.17,0.17,2,2,3,1,2.621212121212121
1,8,Female,21,Asian,ba_ts,0.50,0.50,0.75,0.5,1,0.5,3,5,1,1,3.787878787878788
1,9,Female,19,White,ba_rec,0,0,0,0,0,0,6,4,1,1,3.287878787878788
1,10,Male,19,White,ba_rec,1,0,0.17,0,1,0,3,4,3,4,2.484848484848485
1,11,Female,19,White,ba_ts,NA,1,0,0,0,0,2,2,3,1,2.2777777777777777
1,13,Female,20,White,ba_rec,0,0,0,0,0.17,0.17,4,1,5,1,2.883838383838384
1,14,Female,18,White,ba_ts,0,0,0,0.17,0,0.17,5,3,1,1,4.05050505050505
1,15,Female,18,White,ba_rec,0.25,0.25,0,0,0,0,2,3,3,1,1.3585858585858586
1,16,Female,19,White,bp_ts,0.50,0.25,0.17,0,0,0,4,3,1,1,3.242424242424242
1,17,Female,19,White,bp_rec,1,1,0.77,0,1,1,1,1,1,1,2.121212121212121
1,18,Female,20,Asian,ba_tj,1,1,1,1,1,1,4,6,1,4,2.1818181818181817
1,19,Female,19,White,bp_tj,1,0.50,1,0.5,1,1,5,4,2,1,2.772727272727273
1,20,Male,18,Hispanic,bp_ts,0,0,0,0,0,0,6,6,5,5,1.8888888888888888
1,21,Female,19,"1,5",ba_tj,0,0,0.17,0,0.17,0.17,5,3,1,1,2.217171717171717
1,22,Female,18,White,bp_rec,0.50,0.50,0,0,0.5,1,4,1,1,1,2.515151515151515
1,23,Female,20,White,ba_ts,0.25,0,1,0,0,0,5,3,3,1,2.7373737373737375
1,24,Female,22,White,bp_tj,0,0,0,0,0,0,5,2,1,1,2.146464646464646
1,25,Female,20,Asian,ba_rec,0.25,0,1,0,0,0,6,4,4,1,2.97979797979798
1,26,Female,19,White,ba_rec,0.50,0.50,0.5,0,1.17,0.17,1,2,1,1,1.909090909090909
1,27,Female,18,White,bp_tj,0.25,0,0,0,0.17,0.17,3,3,3,1,3.292929292929293
1,28,Female,19,White,bp_rec,1,0.50,1,0.75,0.17,0.75,5,2,1,1,3.282828282828283
1,29,Female,21,White,ba_ts,0.50,0.25,1,0.17,1,0.5,5,3,3,1,3.0494949494949495
1,30,Female,35,"1,4",ba_tj,1,1,1,1,1,1,1,2,1,1,2.606060606060606
1,31,Female,18,White,bp_ts,0,1,0,0,1,1,4,5,3,1,2.787878787878788
1,32,Female,21,White,ba_rec,0.50,1,1,1,0,0,4,2,1,1,2.6767676767676765
1,33,Female,20,Hispanic,ba_ts,0,0,0,0,0,0,4,4,1,1,3.494949494949495
